in s,C2 in V
-1.1875482E-01,2.48898E+00
-1.1875021E-01,2.50852E+00
-1.1874560E-01,2.54758E+00
-1.1874099E-01,2.46945E+00
-1.1873638E-01,2.56711E+00
-1.1873178E-01,2.56711E+00
-1.1872717E-01,2.52805E+00
-1.1872256E-01,2.52805E+00
-1.1871795E-01,2.48898E+00
-1.1871334E-01,2.50852E+00
-1.1870874E-01,2.46945E+00
-1.1870413E-01,2.58664E+00
-1.1869952E-01,2.50852E+00
-1.1869491E-01,2.50852E+00
-1.1869030E-01,2.50852E+00
-1.1868570E-01,2.58664E+00
-1.1868109E-01,2.48898E+00
-1.1867648E-01,2.56711E+00
-1.1867187E-01,2.54758E+00
-1.1866726E-01,2.56711E+00
-1.1866266E-01,2.48898E+00
-1.1865805E-01,2.60617E+00
-1.1865344E-01,2.48898E+00
-1.1864883E-01,2.54758E+00
-1.1864422E-01,2.54758E+00
-1.1863962E-01,2.52805E+00
-1.1863501E-01,2.50852E+00
-1.1863040E-01,2.60617E+00
-1.1862579E-01,2.54758E+00
-1.1862118E-01,2.52805E+00
-1.1861658E-01,2.48898E+00
-1.1861197E-01,2.52805E+00
-1.1860736E-01,2.52805E+00
-1.1860275E-01,2.60617E+00
-1.1859814E-01,2.52805E+00
-1.1859354E-01,2.58664E+00
-1.1858893E-01,2.52805E+00
-1.1858432E-01,2.48898E+00
-1.1857971E-01,2.50852E+00
-1.1857510E-01,2.48898E+00
-1.1857050E-01,2.46945E+00
-1.1856589E-01,2.50852E+00
-1.1856128E-01,2.50852E+00
-1.1855667E-01,2.52805E+00
-1.1855206E-01,2.50852E+00
-1.1854746E-01,2.48898E+00
-1.1854285E-01,2.52805E+00
-1.1853824E-01,2.54758E+00
-1.1853363E-01,2.54758E+00
-1.1852902E-01,2.50852E+00
-1.1852442E-01,2.54758E+00
-1.1851981E-01,2.54758E+00
-1.1851520E-01,2.56711E+00
-1.1851059E-01,2.52805E+00
-1.1850598E-01,2.58664E+00
-1.1850138E-01,2.50852E+00
-1.1849677E-01,2.64523E+00
-1.1849216E-01,2.50852E+00
-1.1848755E-01,2.48898E+00
-1.1848294E-01,2.48898E+00
-1.1847834E-01,2.58664E+00
-1.1847373E-01,2.50852E+00
-1.1846912E-01,2.56711E+00
-1.1846451E-01,2.48898E+00
-1.1845990E-01,2.46945E+00
-1.1845530E-01,2.41086E+00
-1.1845069E-01,2.50852E+00
-1.1844608E-01,2.48898E+00
-1.1844147E-01,2.48898E+00
-1.1843686E-01,2.41086E+00
-1.1843226E-01,2.46945E+00
-1.1842765E-01,2.52805E+00
-1.1842304E-01,2.50852E+00
-1.1841843E-01,2.44992E+00
-1.1841382E-01,2.52805E+00
